"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories",,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0409-01,,,,,,,
Release date: 2023-10-04,,,,,,,
"Geography: Canada, Province or territory",,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)",,,,,,,
,,,,,,,
Geography,Canada i1,,,,,,
Gender (3) 1 2,Total - Gender,,,,,,
Age (15A) 3,Total - Age,,,,,,
"Highest certificate, diploma or degree (16) 4","Total - Highest certificate, diploma or degree 6",,,,,,
Work activity during the reference year (5) 5,Total - Work activity during the reference year 7,,,,,,
Income year (2),2020,,,,,,
Employment income statistics (7),Total - Employment income statistics 9 10 11 12,With employment income,Median employment income ($),Average employment income ($),"With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 8,,,,,,,
45.11 Sociology,"111,995","88,320","49,600","58,500","82,425","52,000","60,300"
45.12 Urban studies/affairs,"2,800","2,340","56,000","62,250","2,145","57,600","64,500"
45.13 Sociology and anthropology,"2,885","2,275","50,000","55,750","2,100","52,800","58,700"
45.15 Geography and anthropology,300,200,"44,800","57,600",190,"48,800","60,800"
"45.99 Social sciences, other","4,955","4,125","35,600","44,560","3,855","38,000","46,360"
"Business, management and public administration","3,758,250","2,971,960","48,400","66,400","2,751,500","50,400","68,300"
30.16 Accounting and computer science,"5,335","3,775","43,600","52,150","3,465","46,400","55,150"
44. Public administration and social service professions,"272,240","218,610","48,800","53,800","207,125","50,400","55,050"
"44.00 Human services, general","51,815","40,165","38,800","41,040","38,320","40,000","42,080"
44.02 Community organization and advocacy,355,250,"33,200","40,000",225,"39,200","44,000"
44.04 Public administration,"37,775","29,785","68,000","73,500","28,045","70,500","76,200"
44.05 Public policy analysis,"7,100","6,375","70,000","76,100","6,095","71,000","77,400"
44.07 Social work,"174,675","141,755","49,200","52,300","134,180","50,800","53,300"
"44.99 Public administration and social service professions, other",520,280,"40,800","50,800",270,"46,000","51,200"
"52. Business, management, marketing and related support services","3,480,675","2,749,580","48,400","67,400","2,540,915","50,400","69,400"
"52.01 Business/commerce, general","621,190","501,500","56,000","86,700","462,410","58,800","89,900"
"52.02 Business administration, management and operations","848,070","691,790","53,200","70,800","647,110","55,200","73,000"
52.03 Accounting and related services,"635,775","498,315","48,000","63,250","458,710","50,000","64,700"
52.04 Business operations support and assistant services,"382,000","236,740","35,600","36,600","223,325","37,200","37,720"
52.05 Business/corporate communications,"2,965","2,520","50,800","59,950","2,360","52,000","61,400"
52.06 Business/managerial economics,"22,665","18,150","57,200","92,500","16,575","60,800","97,100"
52.07 Entrepreneurial and small business operations,"13,075","10,655","34,000","44,880","9,440","37,200","47,280"
52.08 Finance and financial management services,"221,865","182,580","55,200","89,600","166,690","57,600","93,000"
