"Labour force status by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories, census metropolitan areas and census agglomerations with parts",,,
Frequency: Occasional,,,
Table: 98-10-0401-01,,,
Release date: 2023-06-21,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part",,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Labour force status (8), Age (15A), Highest certificate, diploma or degree (16), Gender (3)",,,
,,,
Geography,Canada i1,,
Labour force status (8) 1,Total - Labour force status 4 5,,
Age (15A) 2,Total - Age,,
"Highest certificate, diploma or degree (16) 3","Total - Highest certificate, diploma or degree 6",,
Gender (3) 7 8,Total - Gender,Men+ 10,Women+ 11
30.43 Geobiology,270,110,160
30.50 Mathematics and atmospheric/oceanic science,0,0,0
40. Physical sciences,"196,620","130,745","65,870"
"40.01 Physical sciences, general","14,470","9,740","4,735"
40.02 Astronomy and astrophysics,"2,665","1,835",835
40.04 Atmospheric sciences and meteorology,"2,800","2,110",690
40.05 Chemistry,"80,540","45,510","35,035"
40.06 Geological and Earth sciences/geosciences,"45,360","31,725","13,635"
40.08 Physics,"43,510","34,065","9,445"
40.10 Materials sciences,"4,375","3,345","1,025"
40.11 Physics and astronomy,670,375,295
"40.99 Physical sciences, other","2,230","2,050",175
41. Science technologies/technicians,"34,710","13,985","20,725"
"41.00 Science technologies/technicians, general","17,665","4,240","13,420"
41.01 Biology and biotechnology technologies/technicians,"2,785",985,"1,800"
41.02 Nuclear and industrial radiologic technologies/technicians,655,520,140
41.03 Physical science technologies/technicians,"12,970","7,625","5,345"
"41.99 Science technologies/technicians, other",640,615,25
"Mathematics, computer and information sciences","804,230","531,435","272,795"
11. Computer and information sciences and support services,"643,145","454,375","188,770"
"11.01 Computer and information sciences and support services, general","164,685","114,345","50,340"
11.02 Computer programming,"61,970","44,685","17,285"
11.03 Data processing and data processing technology/technician,"4,000","1,760","2,245"
11.04 Information science/studies,"4,610","1,605","3,005"
11.05 Computer systems analysis/analyst,"15,140","10,565","4,575"
11.06 Data entry/microcomputer applications,"10,895","2,300","8,595"
11.07 Computer science,"288,310","213,445","74,865"
11.08 Computer software and media applications,"24,420","13,925","10,495"
11.09 Computer systems networking and telecommunications,"1,115",930,190
11.10 Computer/information technology administration and management,"52,890","42,150","10,745"
"11.99 Computer and information sciences and support services, other","15,105","8,665","6,435"
25. Library science,"43,085","7,100","35,980"
25.01 Library science and administration,"26,585","5,230","21,355"
25.03 Library and archives assisting,"16,440","1,865","14,575"
"25.99 Library science, other",55,0,50
27. Mathematics and statistics,"99,360","57,565","41,800"
27.01 Mathematics,"72,285","42,870","29,415"
27.03 Applied mathematics,"8,485","5,090","3,395"
27.05 Statistics,"18,040","9,290","8,755"
27.06 Applied statistics,290,170,115
"27.99 Mathematics and statistics, other",265,145,120
"30D Interdisciplinary mathematics, computer and information sciences","18,640","12,405","6,240"
30.06 Systems science and theory,210,140,75
30.08 Mathematics and computer science,"10,450","7,455","2,990"
30.30 Computational science,395,255,140
30.39 Economics and computer science,865,680,185
30.48 Linguistics and computer science,170,100,70
30.49 Mathematical economics,"2,405","1,355","1,045"
30.70 Data science,"1,510",885,625
30.71 Data analytics,"2,630","1,530","1,105"
"Architecture, engineering, and related trades","3,506,120","3,131,220","374,900"
04. Architecture and related services,"135,025","81,925","53,095"
04.02 Architecture,"55,900","33,060","22,840"
"04.03 City/urban, community and regional planning","26,790","15,160","11,635"
04.04 Environmental design/architecture,"4,075","1,715","2,355"
04.05 Interior architecture,"1,155",255,900
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","5,875","2,915","2,965"
"04.08 Architectural history, criticism, and conservation",635,290,345
04.09 Architectural sciences and technology,"38,080","26,905","11,175"
04.10 Real estate development,205,140,65
"04.99 Architecture and related services, other","2,300","1,490",810
14. Engineering,"900,470","723,075","177,395"
14.01 General engineering,"199,280","164,840","34,445"
"14.02 Aerospace, aeronautical and astronautical/space engineering","12,725","11,155","1,575"
14.03 Agricultural engineering,"6,845","4,355","2,490"
14.04 Architectural engineering,"2,685","1,515","1,165"
14.05 Biomedical/medical engineering,"7,555","4,110","3,445"
14.06 Ceramic sciences and engineering,120,80,35
14.07 Chemical engineering,"45,520","29,700","15,820"
14.08 Civil engineering,"110,500","87,505","22,990"
14.09 Computer engineering,"70,175","52,880","17,290"
"14.10 Electrical, electronics and communications engineering","156,365","129,370","26,995"
14.11 Engineering mechanics,485,405,80
14.12 Engineering physics/applied physics,"5,475","4,555",915
14.13 Engineering science,"1,805","1,420",385
14.14 Environmental/environmental health engineering,"7,955","4,305","3,655"
14.18 Materials engineering,"5,560","3,825","1,735"
14.19 Mechanical engineering,"140,890","124,820","16,065"
14.20 Metallurgical engineering,"2,945","2,450",495
14.21 Mining and mineral engineering,"6,160","5,220",945
14.22 Naval architecture and marine engineering,"4,745","4,480",260
14.23 Nuclear engineering,"1,455","1,230",225
14.24 Ocean engineering,95,85,10
14.25 Petroleum engineering,"5,955","4,895","1,060"
14.27 Systems engineering,"3,550","2,555",995
14.28 Textile sciences and engineering,"1,375",730,650
14.32 Polymer/plastics engineering,545,395,145
14.33 Construction engineering,"12,470","10,225","2,240"
14.34 Forest engineering,"2,545","2,140",400
14.35 Industrial engineering,"23,010","15,325","7,690"
14.36 Manufacturing engineering,"3,890","3,215",670
14.37 Operations research,"1,385",900,480
14.38 Surveying engineering,"4,750","3,980",765
14.39 Geological/geophysical engineering,"3,775","2,710","1,065"
14.40 Paper science and engineering,150,100,50
14.41 Electromechanical engineering,"2,495","2,240",260
"14.42 Mechatronics, robotics, and automation engineering","6,765","5,605","1,165"
14.43 Biochemical engineering,830,460,370
14.44 Engineering chemistry,"1,415",720,700
14.45 Biological/biosystems engineering,"1,315",705,610
14.47 Electrical and computer engineering,"8,150","6,325","1,825"
14.48 Energy systems engineering,"6,005","4,755","1,245"
"14.99 Engineering, other","20,770","16,795","3,975"
15. Engineering/engineering-related technologies/technicians,"726,155","638,360","87,795"
15.00 General engineering technologies/technicians,"44,215","38,590","5,625"
15.01 Architectural engineering technology/technician,"1,805","1,345",455
15.02 Civil engineering technology/technician,"52,935","46,950","5,990"
15.03 Electrical/electronic engineering technologies/technicians,"190,290","176,230","14,065"
15.04 Electromechanical technologies/technicians,"52,385","48,335","4,050"
15.05 Environmental control technologies/technicians,"22,475","17,615","4,860"
15.06 Industrial production technologies/technicians,"27,680","22,925","4,750"
15.07 Quality control and safety technologies/technicians,"28,940","18,760","10,175"
15.08 Mechanical engineering related technologies/technicians,"72,380","68,675","3,705"
15.09 Mining and petroleum technologies/technicians,"34,890","30,130","4,755"
15.10 Construction engineering technology/technician,"7,615","6,935",685
15.11 Engineering-related technologies/technicians,"12,920","11,620","1,295"
15.12 Computer engineering technologies/technicians,"59,330","48,560","10,770"
15.13 Drafting/design engineering technologies/technicians,"44,500","33,645","10,855"
15.14 Nuclear engineering technology/technician,40,40,0
15.15 Engineering-related fields,"5,600","4,060","1,545"
15.16 Nanotechnology,"1,010",750,255
15.17 Energy systems technologies/technicians,"56,280","53,650","2,630"
"15.99 Engineering/engineering-related technologies/technicians, other","10,870","9,535","1,335"
30.12 Historic preservation and conservation,580,190,390
46. Construction trades,"703,900","683,065","20,840"
"46.00 Construction trades, general","45,970","43,745","2,220"
46.01 Masonry/mason,"22,700","22,450",250
46.02 Carpentry/carpenter,"164,225","159,985","4,235"
46.03 Electrical and power transmission installers,"233,830","229,425","4,410"
"46.04 Building/construction finishing, management and inspection","97,740","90,220","7,525"
46.05 Plumbing and related water supply services,"133,090","131,035","2,060"
"46.99 Construction trades, other","6,355","6,200",155
47. Mechanic and repair technologies/technicians,"659,485","640,895","18,590"
"47.00 Mechanics and repairers, general","99,485","97,955","1,530"
47.01 Electrical/electronics maintenance and repair technologies/technicians,"46,005","43,910","2,095"
"47.02 Heating, air conditioning, ventilation and refrigeration maintenance technology/technician","49,815","49,175",640
47.03 Heavy/industrial equipment maintenance technologies/technicians,"139,110","136,920","2,185"
47.04 Precision systems maintenance and repair technologies/technicians,"18,225","14,970","3,255"
47.06 Vehicle maintenance and repair technologies/technicians,"304,700","295,995","8,700"
47.07 Energy systems maintenance and repair technologies/technicians,"1,365","1,285",75
"47.99 Mechanic and repair technologies/technicians, other",785,675,105
48. Precision production,"380,505","363,715","16,795"
"48.00 Precision production trades, general",570,550,20
48.03 Leatherworking and upholstery,"3,405","2,585",820
48.05 Precision metal working,"315,475","304,570","10,905"
48.07 Woodworking,"47,540","43,515","4,025"
48.08 Boilermaking/boilermaker,"8,035","7,845",190
"48.99 Precision production, other","5,490","4,650",840
"Agriculture, natural resources and conservation","407,540","234,365","173,180"
01. Agricultural and veterinary sciences/services/operations and related fields 13,"262,580","140,515","122,065"
"01.00 Agriculture, general","65,590","49,835","15,755"
01.01 Agricultural business and management,"14,025","9,125","4,895"
01.02 Agricultural mechanization,"6,710","6,560",155
01.03 Agricultural production operations,"17,070","11,320","5,745"
01.04 Agricultural and food products processing,"2,570","1,245","1,330"
01.05 Agricultural and domestic animal services,"11,640","2,130","9,515"
01.06 Applied horticulture/horticultural business services,"49,340","26,735","22,605"
01.07 International agriculture,50,15,35
01.08 Agricultural public services,250,110,140
01.09 Animal sciences,"12,130","4,905","7,225"
01.10 Food science and technology,"19,930","7,935","11,995"
01.11 Plant sciences,"13,225","8,330","4,890"
01.12 Soil sciences,"2,515","1,665",845
01.13 Agriculture/veterinary preparatory programs,95,15,80
01.80 Veterinary medicine (DVM),"16,355","7,085","9,265"
"01.81 Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)","2,825","1,425","1,395"
01.82 Veterinary administrative services,"1,535",25,"1,510"
01.83 Veterinary/animal health technologies/technicians,"26,110","1,790","24,315"
"01.99 Agricultural and veterinary sciences/services/operations and related fields, other",620,260,360
03. Natural resources and conservation,"144,960","93,845","51,110"
03.01 Natural resources conservation and research,"57,625","28,055","29,565"
03.02 Environmental/natural resources management and policy,"23,005","13,150","9,850"
03.03 Fishing and fisheries sciences and management,"1,800","1,260",540
03.05 Forestry,"55,750","46,800","8,945"
03.06 Wildlife and wildlands science and management,"6,255","4,270","1,980"
"03.99 Natural resources and conservation, other",535,305,230
Health and related fields,"2,444,500","485,615","1,958,885"
30.37 Design for human health,40,0,30
"31. Parks, recreation, leisure, fitness, and kinesiology","180,785","89,010","91,775"
"31.01 Parks, recreation, and leisure studies","30,110","11,545","18,565"
"31.03 Parks, recreation, and leisure facilities management","4,040","3,405",635
"31.05 Sports, kinesiology, and physical education/physical fitness","142,570","71,660","70,915"
31.06 Outdoor education,"3,565","2,175","1,390"
"31.99 Parks, recreation, leisure, fitness, and kinesiology, other",500,225,275
51. Health professions and related programs 14,"2,194,395","360,540","1,833,850"
51.00 General health services/allied health/health sciences,"91,720","20,610","71,110"
51.01 Chiropractic (DC),"9,835","5,850","3,985"
51.02 Communication disorders sciences and services,"18,585","1,325","17,265"
"51.04 Dentistry (DDS, DMD)","38,240","19,340","18,905"
"51.05 Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)","5,570","2,825","2,745"
51.06 Dental support services and allied professions,"115,095","8,020","107,075"
51.07 Health and medical administrative services,"132,140","5,865","126,275"
51.08 Allied health and medical assisting services,"65,580","12,460","53,115"
"51.09 Allied health diagnostic, intervention and treatment professions","96,860","36,700","60,165"
51.10 Clinical/medical laboratory science/research and allied professions,"59,035","10,455","48,575"
51.11 Health/medical preparatory programs,"17,640","5,550","12,090"
51.12 Medicine,"85,470","42,350","43,125"
51.14 Medical clinical sciences/graduate medical studies,"26,975","13,270","13,700"
51.15 Mental and social health services and allied professions,"35,220","7,690","27,530"
51.17 Optometry (OD),"8,080","3,445","4,640"
51.18 Ophthalmic and optometric support services and allied professions,"13,685","4,155","9,530"
"51.20 Pharmacy, pharmaceutical sciences and administration","72,375","27,625","44,750"
51.22 Public health,"30,995","9,080","21,910"
51.23 Rehabilitation and therapeutic professions,"91,615","16,890","74,725"
51.26 Health aides/attendants/orderlies,"271,690","27,675","244,020"
51.27 Medical illustration and informatics,"1,715",635,"1,075"
51.31 Dietetics and clinical nutrition services,"19,425",920,"18,505"
"51.32 Health professions education, ethics, and humanities","3,880",515,"3,360"
51.33 Alternative and complementary medicine and medical systems,"11,465","2,950","8,515"
51.34 Alternative and complementary medical support services,"10,170",80,"10,090"
51.35 Somatic bodywork and related therapeutic services,"46,780","8,695","38,080"
51.36 Movement and mind-body therapies,"2,405",400,"2,010"
51.37 Energy-based and biologically-based therapies,"1,415",165,"1,255"
"51.38 Registered nursing, nursing administration, nursing research and clinical nursing","655,730","53,880","601,855"
"51.39 Practical nursing, vocational nursing and nursing assistants","154,065","10,785","143,280"
"51.99 Health professions and related programs, other",960,355,605
60. Health professions residency/fellowship programs,"5,255","1,425","3,830"
60.01 Dental residency/fellowship programs,"1,225",840,390
60.03 Veterinary residency/fellowship programs,705,315,390
60.07 Nurse practitioner residency/fellowship programs,"3,270",265,"3,010"
60.08 Pharmacy residency/fellowship programs,50,10,40
60.09 Physician assistant residency/fellowship programs,0,0,0
"60.99 Health professions residency/fellowship programs, other",0,0,0
61. Medical residency/fellowship programs,"64,025","34,635","29,395"
61.01 Combined medical residency/fellowship programs,930,640,285
61.02 Multiple-pathway medical fellowship programs,755,395,355
61.03 Allergy and immunology residency/fellowship programs,190,90,100
61.04 Anesthesiology residency/fellowship programs,"3,430","2,260","1,165"
61.05 Dermatology residency/fellowship programs,785,325,460
61.06 Emergency medicine residency/fellowship programs,"2,050","1,315",740
61.07 Family medicine residency/fellowship programs,"18,835","8,590","10,245"
61.08 Internal medicine residency/fellowship programs,"7,910","4,755","3,150"
61.09 Medical genetics and genomics residency/fellowship programs,50,15,30
61.10 Neurological surgery residency/fellowship programs,295,230,70
61.11 Neurology residency/fellowship programs,"1,180",655,525
61.12 Nuclear medicine residency/fellowship programs,115,65,55
61.13 Obstetrics and gynecology residency/fellowship programs,"2,975",925,"2,055"
61.14 Ophthalmology residency/fellowship programs,"1,585","1,010",580
