Major field of study,Labour force status,Population,,Major Field of Study,Employed,Unemployed
"19.05 Foods, nutrition and related services",Total - Labour force status,"34,285",,,,
19.06 Housing and human environments,Total - Labour force status,"11,230",,,,
"19.07 Human development, family studies and related services",Total - Labour force status,"245,085",,,,
19.09 Apparel and textiles,Total - Labour force status,"27,150",,,,
19.10 Work and family studies,Total - Labour force status,"1,865",,,,
"19.99 Family and consumer sciences/human sciences, other",Total - Labour force status,"4,115",,,,
22. Legal professions and studies,Total - Labour force status,"325,780",,,,
22.00 Non-professional legal studies,Total - Labour force status,"6,070",,,,
"22.01 Law (LLB, JD, BCL)",Total - Labour force status,"160,775",,,,
22.02 Legal research and advanced professional studies (post-LLB/JD),Total - Labour force status,"43,375",,,,
22.03 Legal support services,Total - Labour force status,"115,105",,,,
"22.99 Legal professions and studies, other",Total - Labour force status,460,,,,
23. English language and literature/letters,Total - Labour force status,"184,605",,,,
"23.01 English language and literature, general",Total - Labour force status,"118,910",,,,
23.13 English rhetoric and composition/writing studies,Total - Labour force status,"8,680",,,,
23.14 English literature,Total - Labour force status,"56,390",,,,
"23.99 English language and literature/letters, other",Total - Labour force status,620,,,,
"24. Liberal arts and sciences, general studies and humanities",Total - Labour force status,"316,050",,,,
"24.01 Liberal arts and sciences, general studies and humanities",Total - Labour force status,"316,050",,,,
25. Library science,Total - Labour force status,"43,085",,,,
25.01 Library science and administration,Total - Labour force status,"26,585",,,,
25.03 Library and archives assisting,Total - Labour force status,"16,440",,,,
"25.99 Library science, other",Total - Labour force status,55,,,,
26. Biological and biomedical sciences,Total - Labour force status,"297,050",,,,
"26.01 Biology, general",Total - Labour force status,"122,640",,,,
26.02 Biochemistry/biophysics and molecular biology,Total - Labour force status,"45,040",,,,
26.03 Botany/plant biology,Total - Labour force status,"8,585",,,,
26.04 Cell/cellular biology and anatomical sciences,Total - Labour force status,"6,595",,,,
26.05 Microbiological sciences and immunology,Total - Labour force status,"26,590",,,,
26.07 Zoology/animal biology,Total - Labour force status,"12,580",,,,
26.08 Genetics,Total - Labour force status,"6,290",,,,
"26.09 Physiology, pathology and related sciences",Total - Labour force status,"12,270",,,,
26.10 Pharmacology and toxicology,Total - Labour force status,"8,405",,,,
"26.11 Biomathematics, bioinformatics, and computational biology",Total - Labour force status,"2,770",,,,
26.12 Biotechnology,Total - Labour force status,"12,510",,,,
"26.13 Ecology, evolution, systematics and population biology",Total - Labour force status,"20,035",,,,
26.14 Molecular medicine,Total - Labour force status,510,,,,
26.15 Neurobiology and neurosciences,Total - Labour force status,"12,190",,,,
"26.99 Biological and biomedical sciences, other",Total - Labour force status,35,,,,
27. Mathematics and statistics,Total - Labour force status,"99,360",,,,
27.01 Mathematics,Total - Labour force status,"72,285",,,,
27.03 Applied mathematics,Total - Labour force status,"8,485",,,,
27.05 Statistics,Total - Labour force status,"18,040",,,,
27.06 Applied statistics,Total - Labour force status,290,,,,
"27.99 Mathematics and statistics, other",Total - Labour force status,265,,,,
"28. Military science, leadership and operational art",Total - Labour force status,"3,965",,,,
"28.08 Military science, leadership and operational artCAN",Total - Labour force status,"3,965",,,,
29. Military technologies and applied sciences,Total - Labour force status,"6,900",,,,
29.05 Military technologies and applied sciencesCAN,Total - Labour force status,"6,900",,,,
30.01 Biological and physical sciences,Total - Labour force status,"155,960",,,,
30.05 Peace studies and conflict resolution,Total - Labour force status,"3,565",,,,
30.06 Systems science and theory,Total - Labour force status,210,,,,
30.08 Mathematics and computer science,Total - Labour force status,"10,450",,,,
30.10 Biopsychology,Total - Labour force status,"3,650",,,,
30.11 Gerontology,Total - Labour force status,"9,505",,,,
30.12 Historic preservation and conservation,Total - Labour force status,580,,,,
30.13 Medieval and renaissance studies,Total - Labour force status,705,,,,
30.14 Museology/museum studies,Total - Labour force status,"3,300",,,,
"30.15 Science, technology and society",Total - Labour force status,170,,,,
30.16 Accounting and computer science,Total - Labour force status,"5,335",,,,
30.17 Behavioural sciences,Total - Labour force status,"3,665",,,,
30.18 Natural sciences,Total - Labour force status,"24,375",,,,
30.19 Nutrition sciences,Total - Labour force status,"3,620",,,,
30.20 International/globalization studies,Total - Labour force status,"6,895",,,,
30.21 Holocaust and related studies,Total - Labour force status,30,,,,
30.22 Classical and ancient studies,Total - Labour force status,"5,620",,,,
30.23 Intercultural/multicultural and diversity studies,Total - Labour force status,"1,035",,,,
30.25 Cognitive science,Total - Labour force status,"2,075",,,,
30.26 Cultural studies/critical theory and analysis,Total - Labour force status,"3,040",,,,
30.27 Human biology,Total - Labour force status,"1,955",,,,
30.28 Dispute resolution,Total - Labour force status,"1,250",,,,
30.29 Maritime studies,Total - Labour force status,355,,,,
30.30 Computational science,Total - Labour force status,395,,,,
30.31 Human computer interaction,Total - Labour force status,220,,,,
30.32 Marine sciences,Total - Labour force status,380,,,,
30.33 Sustainability studies,Total - Labour force status,"3,025",,,,
30.34 Anthrozoology,Total - Labour force status,25,,,,
30.35 Climate science,Total - Labour force status,530,,,,
30.36 Cultural studies and comparative literature,Total - Labour force status,55,,,,
30.37 Design for human health,Total - Labour force status,40,,,,
30.38 Earth systems science,Total - Labour force status,30,,,,
30.39 Economics and computer science,Total - Labour force status,865,,,,
30.40 Economics and foreign language/literature,Total - Labour force status,780,,,,
30.41 Environmental geosciences,Total - Labour force status,550,,,,
30.42 Geoarchaeology,Total - Labour force status,15,,,,
30.43 Geobiology,Total - Labour force status,270,,,,
30.44 Geography and environmental studies,Total - Labour force status,"3,380",,,,
30.45 History and language/literature,Total - Labour force status,"10,780",,,,
30.46 History and political science,Total - Labour force status,"7,870",,,,
30.47 Linguistics and anthropology,Total - Labour force status,195,,,,
30.48 Linguistics and computer science,Total - Labour force status,170,,,,
30.49 Mathematical economics,Total - Labour force status,"2,405",,,,
30.50 Mathematics and atmospheric/oceanic science,Total - Labour force status,0,,,,
"30.51 Integrated philosophy, politics, and economics",Total - Labour force status,115,,,,
30.52 Digital humanities and textual studies,Total - Labour force status,135,,,,
30.53 Thanatology,Total - Labour force status,"1,010",,,,
30.70 Data science,Total - Labour force status,"1,510",,,,
30.71 Data analytics,Total - Labour force status,"2,630",,,,
30A Interdisciplinary humanities,Total - Labour force status,"18,940",,,,
30B Interdisciplinary social and behavioural sciences,Total - Labour force status,"49,850",,,,
30C Other interdisciplinary physical and life sciences,Total - Labour force status,"35,380",,,,
"30D Interdisciplinary mathematics, computer and information sciences",Total - Labour force status,"18,640",,,,
"31. Parks, recreation, leisure, fitness, and kinesiology",Total - Labour force status,"180,785",,,,
"31.01 Parks, recreation, and leisure studies",Total - Labour force status,"30,110",,,,
"31.03 Parks, recreation, and leisure facilities management",Total - Labour force status,"4,040",,,,
"31.05 Sports, kinesiology, and physical education/physical fitness",Total - Labour force status,"142,570",,,,
31.06 Outdoor education,Total - Labour force status,"3,565",,,,
"31.99 Parks, recreation, leisure, fitness, and kinesiology, other",Total - Labour force status,500,,,,
38. Philosophy and religious studies,Total - Labour force status,"57,740",,,,
"38.00 Philosophy and religious studies, general",Total - Labour force status,"1,075",,,,
"38.01 Philosophy, logic and ethics",Total - Labour force status,"35,165",,,,
38.02 Religion/religious studies,Total - Labour force status,"21,330",,,,
"38.99 Philosophy and religious studies, other",Total - Labour force status,170,,,,
39. Theology and religious vocations,Total - Labour force status,"77,505",,,,
39.02 Bible/Biblical studies,Total - Labour force status,"10,545",,,,
39.03 Missions/missionary studies and missiology,Total - Labour force status,685,,,,
39.04 Religious education,Total - Labour force status,"7,535",,,,
39.05 Religious music and worship,Total - Labour force status,720,,,,
39.06 Theological and ministerial studies,Total - Labour force status,"51,545",,,,
39.07 Pastoral counselling and specialized ministries,Total - Labour force status,"5,535",,,,
39.08 Religious institution administration and law,Total - Labour force status,270,,,,
"39.99 Theology and religious vocations, other",Total - Labour force status,665,,,,
40. Physical sciences,Total - Labour force status,"196,620",,,,
"40.01 Physical sciences, general",Total - Labour force status,"14,470",,,,
40.02 Astronomy and astrophysics,Total - Labour force status,"2,665",,,,
40.04 Atmospheric sciences and meteorology,Total - Labour force status,"2,800",,,,
40.05 Chemistry,Total - Labour force status,"80,540",,,,
40.06 Geological and Earth sciences/geosciences,Total - Labour force status,"45,360",,,,
40.08 Physics,Total - Labour force status,"43,510",,,,
40.10 Materials sciences,Total - Labour force status,"4,375",,,,
40.11 Physics and astronomy,Total - Labour force status,670,,,,
"40.99 Physical sciences, other",Total - Labour force status,"2,230",,,,
41. Science technologies/technicians,Total - Labour force status,"34,710",,,,
"41.00 Science technologies/technicians, general",Total - Labour force status,"17,665",,,,
41.01 Biology and biotechnology technologies/technicians,Total - Labour force status,"2,785",,,,
41.02 Nuclear and industrial radiologic technologies/technicians,Total - Labour force status,655,,,,
41.03 Physical science technologies/technicians,Total - Labour force status,"12,970",,,,
"41.99 Science technologies/technicians, other",Total - Labour force status,640,,,,
42. Psychology,Total - Labour force status,"327,960",,,,
"42.01 Psychology, general",Total - Labour force status,"259,430",,,,
42.27 Research and experimental psychology,Total - Labour force status,"17,425",,,,
"42.28 Clinical, counselling and applied psychology",Total - Labour force status,"49,765",,,,
"42.99 Psychology, other",Total - Labour force status,"1,345",,,,
43. Security and protective services,Total - Labour force status,"227,835",,,,
43.01 Criminal justice and corrections,Total - Labour force status,"177,615",,,,
43.02 Fire protection,Total - Labour force status,"37,735",,,,
"43.03 Security and protective services, specialized programs",Total - Labour force status,"6,680",,,,
43.04 Security science and technology,Total - Labour force status,"4,020",,,,
"43.99 Security and protective services, other",Total - Labour force status,"1,790",,,,
44. Public administration and social service professions,Total - Labour force status,"272,240",,,,
"44.00 Human services, general",Total - Labour force status,"51,815",,,,
44.02 Community organization and advocacy,Total - Labour force status,355,,,,
44.04 Public administration,Total - Labour force status,"37,775",,,,
44.05 Public policy analysis,Total - Labour force status,"7,100",,,,
44.07 Social work,Total - Labour force status,"174,675",,,,
"44.99 Public administration and social service professions, other",Total - Labour force status,520,,,,
45. Social sciences,Total - Labour force status,"705,540",,,,
45.01 General social sciences,Total - Labour force status,"58,045",,,,
45.02 Anthropology,Total - Labour force status,"30,240",,,,
45.03 Archaeology,Total - Labour force status,"6,330",,,,
45.04 Criminology,Total - Labour force status,"65,010",,,,
45.05 Demography,Total - Labour force status,875,,,,
45.06 Economics,Total - Labour force status,"202,525",,,,
45.07 Geography and cartography,Total - Labour force status,"74,960",,,,
45.09 International relations and national security studies,Total - Labour force status,"18,185",,,,
45.10 Political science and government,Total - Labour force status,"126,450",,,,
45.11 Sociology,Total - Labour force status,"111,990",,,,
45.12 Urban studies/affairs,Total - Labour force status,"2,800",,,,
45.13 Sociology and anthropology,Total - Labour force status,"2,885",,,,
45.15 Geography and anthropology,Total - Labour force status,300,,,,
"45.99 Social sciences, other",Total - Labour force status,"4,955",,,,
46. Construction trades,Total - Labour force status,"703,900",,,,
"46.00 Construction trades, general",Total - Labour force status,"45,970",,,,
46.01 Masonry/mason,Total - Labour force status,"22,700",,,,
46.02 Carpentry/carpenter,Total - Labour force status,"164,225",,,,
46.03 Electrical and power transmission installers,Total - Labour force status,"233,830",,,,
"46.04 Building/construction finishing, management and inspection",Total - Labour force status,"97,740",,,,
46.05 Plumbing and related water supply services,Total - Labour force status,"133,090",,,,
"46.99 Construction trades, other",Total - Labour force status,"6,355",,,,
47. Mechanic and repair technologies/technicians,Total - Labour force status,"659,485",,,,
"47.00 Mechanics and repairers, general",Total - Labour force status,"99,485",,,,
47.01 Electrical/electronics maintenance and repair technologies/technicians,Total - Labour force status,"46,005",,,,
"47.02 Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",Total - Labour force status,"49,815",,,,
47.03 Heavy/industrial equipment maintenance technologies/technicians,Total - Labour force status,"139,110",,,,
47.04 Precision systems maintenance and repair technologies/technicians,Total - Labour force status,"18,225",,,,
47.06 Vehicle maintenance and repair technologies/technicians,Total - Labour force status,"304,700",,,,
47.07 Energy systems maintenance and repair technologies/technicians,Total - Labour force status,"1,365",,,,
"47.99 Mechanic and repair technologies/technicians, other",Total - Labour force status,785,,,,
48. Precision production,Total - Labour force status,"380,505",,,,
"48.00 Precision production trades, general",Total - Labour force status,570,,,,
48.03 Leatherworking and upholstery,Total - Labour force status,"3,405",,,,
48.05 Precision metal working,Total - Labour force status,"315,475",,,,
48.07 Woodworking,Total - Labour force status,"47,540",,,,
48.08 Boilermaking/boilermaker,Total - Labour force status,"8,035",,,,
"48.99 Precision production, other",Total - Labour force status,"5,490",,,,
49. Transportation and materials moving,Total - Labour force status,"219,200",,,,
49.01 Air transportation,Total - Labour force status,"42,950",,,,
49.02 Ground transportation,Total - Labour force status,"147,975",,,,
49.03 Marine transportation,Total - Labour force status,"25,570",,,,
"49.99 Transportation and materials moving, other",Total - Labour force status,"2,710",,,,
50. Visual and performing arts,Total - Labour force status,"556,470",,,,
"50.01 Visual, digital and performing arts, general",Total - Labour force status,"23,980",,,,
"50.02 Crafts/craft design, folk art and artisanry",Total - Labour force status,"1,290",,,,
50.03 Dance,Total - Labour force status,"6,480",,,,
50.04 Design and applied arts,Total - Labour force status,"206,775",,,,
50.05 Drama/theatre arts and stagecraft,Total - Labour force status,"42,340",,,,
50.06 Film/video and photographic arts,Total - Labour force status,"66,565",,,,
50.07 Fine arts and art studies,Total - Labour force status,"129,195",,,,
50.09 Music,Total - Labour force status,"76,200",,,,
"50.10 Arts, entertainment, and media management",Total - Labour force status,"3,175",,,,
50.11 Community/environmental/socially-engaged art,Total - Labour force status,65,,,,
"50.99 Visual and performing arts, other",Total - Labour force status,400,,,,
51. Health professions and related programs 14,Total - Labour force status,"2,194,395",,,,
51.00 General health services/allied health/health sciences,Total - Labour force status,"91,720",,,,
51.01 Chiropractic (DC),Total - Labour force status,"9,835",,,,
51.02 Communication disorders sciences and services,Total - Labour force status,"18,585",,,,
"51.04 Dentistry (DDS, DMD)",Total - Labour force status,"38,240",,,,
"51.05 Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)",Total - Labour force status,"5,570",,,,
51.06 Dental support services and allied professions,Total - Labour force status,"115,095",,,,
51.07 Health and medical administrative services,Total - Labour force status,"132,140",,,,
51.08 Allied health and medical assisting services,Total - Labour force status,"65,580",,,,
"51.09 Allied health diagnostic, intervention and treatment professions",Total - Labour force status,"96,860",,,,
51.10 Clinical/medical laboratory science/research and allied professions,Total - Labour force status,"59,035",,,,
51.11 Health/medical preparatory programs,Total - Labour force status,"17,640",,,,
51.12 Medicine,Total - Labour force status,"85,470",,,,
51.14 Medical clinical sciences/graduate medical studies,Total - Labour force status,"26,975",,,,
51.15 Mental and social health services and allied professions,Total - Labour force status,"35,220",,,,
51.17 Optometry (OD),Total - Labour force status,"8,080",,,,
51.18 Ophthalmic and optometric support services and allied professions,Total - Labour force status,"13,685",,,,
"51.20 Pharmacy, pharmaceutical sciences and administration",Total - Labour force status,"72,375",,,,
51.22 Public health,Total - Labour force status,"30,995",,,,
51.23 Rehabilitation and therapeutic professions,Total - Labour force status,"91,615",,,,
51.26 Health aides/attendants/orderlies,Total - Labour force status,"271,690",,,,
51.27 Medical illustration and informatics,Total - Labour force status,"1,715",,,,
51.31 Dietetics and clinical nutrition services,Total - Labour force status,"19,425",,,,
"51.32 Health professions education, ethics, and humanities",Total - Labour force status,"3,880",,,,
51.33 Alternative and complementary medicine and medical systems,Total - Labour force status,"11,465",,,,
51.34 Alternative and complementary medical support services,Total - Labour force status,"10,170",,,,
51.35 Somatic bodywork and related therapeutic services,Total - Labour force status,"46,780",,,,
51.36 Movement and mind-body therapies,Total - Labour force status,"2,405",,,,
